name,all_reviews,popular_tags
Battle Royale Trainer,"Mixed,(1,453),- 56% of the 1,453 user reviews for this game are positive.","Action,Simulation,Shooter,Battle Royale,FPS,Third-Person Shooter,Adventure,Multiplayer,Third Person,Sniper,Survival,Singleplayer"
Tiger Knight,"Mixed,(1,456),- 60% of the 1,456 user reviews for this game are positive.","Strategy,Free to Play,Massively Multiplayer,Action,War,Violent,Multiplayer,Historical,Early Access,Open World,Co-op"
Modern Combat 5,"Mixed,(1,473),- 42% of the 1,473 user reviews for this game are positive.","Free to Play,FPS,Massively Multiplayer,Action,Shooter,Multiplayer,Battle Royale,Controller,First-Person,Co-op,Adventure,Online Co-Op"
AXYOS,"Mixed,(1,482),- 52% of the 1,482 user reviews for this game are positive.","Action,FPS,Massively Multiplayer,Indie,Shooter,Multiplayer,MOBA,First-Person,Early Access"
Assassin???Creedì§?Liberation HD,"Mixed,(1,490),- 56% of the 1,490 user reviews for this game are positive.","Action,Female Protagonist,Open World,Stealth,Adventure,Third Person,Assassin,Parkour,Singleplayer,Historical,Exploration,Conspiracy,Action-Adventure,Multiplayer,Atmospheric,Sci-fi"
"Kane and Lynch: Dead Men??""Kane and Lynch: Dead Men is the new action shooter franchise by Io-Interactive","Mixed,(1,494),- 66% of the 1,494 user reviews for this game are positive.","Action,Third-Person Shooter,Crime,Shooter,Local Co-Op,Co-op,Third Person,Story Rich,Violent,Atmospheric,Heist,Multiplayer,Split Screen,Singleplayer,Controller,Masterpiece,Adventure,Open World"
The Forgotten Ones,"Mixed,(1,509),- 59% of the 1,509 user reviews for this game are positive.","Horror,Free to Play,Adventure,Survival,Multiplayer,FPS,Action,Survival Horror,Shooter,Singleplayer,Indie,First-Person,Zombies,Co-op,World War II,Psychological Horror,Mod,Open World,Walking Simulator,Gore"
Battle of Empires : 1914-1918,"Mixed,(1,517),- 64% of the 1,517 user reviews for this game are positive.","Strategy,World War I,War,Historical,Action,RTS,Multiplayer,Atmospheric,Singleplayer,Indie,Simulation,Early Access,Masterpiece,Realistic"
KINGDOMS,"Mixed,(1,523),- 63% of the 1,523 user reviews for this game are positive.","Early Access,Medieval,RPG,Open World,Building,Survival,Simulation,Early Access,Crafting,Adventure,Sandbox,Action,Indie,Singleplayer,First-Person,Hunting,Strategy,Management,Atmospheric,Military"
Enforcer: Police Crime Action,"Mixed,(1,525),- 47% of the 1,525 user reviews for this game are positive.","Simulation,Action,Open World,Crime,Adventure,Singleplayer,Indie,Sandbox,Shooter,Third Person,Multiplayer,Realistic,Funny"
Shift 2 Unleashed,"Mixed,(1,526),- 61% of the 1,526 user reviews for this game are positive.","Racing,Simulation,Driving,Multiplayer,Realistic,Masterpiece"
God Mode,"Mixed,(1,552),- 69% of the 1,552 user reviews for this game are positive.","Action,Co-op,Multiplayer,Third-Person Shooter,Shooter,Third Person,Singleplayer,Gore,Online Co-Op,Mythology"
Rise of the Triad,"Mixed,(1,555),- 69% of the 1,555 user reviews for this game are positive.","FPS,Action,Old School,Fast-Paced,Remake,Gore,First-Person,Shooter,Multiplayer,Funny,Classic,Great Soundtrack,Arena Shooter,Singleplayer,Female Protagonist,Comedy,Sci-fi,Cult Classic,Masterpiece,Dog"
Bus Simulator 16,"Mixed,(1,561),- 58% of the 1,561 user reviews for this game are positive.","Simulation,Driving,Open World,Multiplayer,Realistic,Management,Co-op,Singleplayer,Online Co-Op,Co-op Campaign,Physics,Adventure,Mod,First-Person,Free to Play,Atmospheric"
ZOMBI,"Mixed,(1,575),- 64% of the 1,575 user reviews for this game are positive.","Zombies,Survival,Action,Survival Horror,First-Person,Horror,Open World,Multiplayer,Adventure,Gore,Singleplayer,FPS,Perma Death,Atmospheric,Violent,Shooter,Crafting,Post-apocalyptic,Co-op,Rogue-like"
Sid Meier's Starships,"Mixed,(1,586),- 44% of the 1,586 user reviews for this game are positive.","Strategy,Space,Turn-Based Strategy,Sci-fi,Singleplayer,Tactical,Casual,4X,Turn-Based"
Agony,"Mixed,(1,587),- 47% of the 1,587 user reviews for this game are positive.","Horror,Nudity,Sexual Content,Gore,Demons,First-Person,Survival Horror,Violent,Action,Adventure,Psychological Horror,Psychedelic,Dark,Atmospheric,Singleplayer,Indie,Survival,Walking Simulator,Story Rich,Stealth"
"Trials Fusion??""Trials Fusion is the gold-standard platform racer for the next-generation of gaming. Built upon the Trials franchise???proven gameplay foundations","Mixed,(1,593),- 64% of the 1,593 user reviews for this game are positive.","Racing,Multiplayer,Singleplayer,Physics,Local Multiplayer,Sports,Futuristic,Platformer,Action,Funny,2.5D,Competitive,Level Editor,Difficult,2D,Casual,Simulation,Arcade,Great Soundtrack,Adventure"
