id,all_reviews,name,URL,popular_tags
83,"Very Positive,(80),- 91% of the 80 user reviews for this game are positive.",Dark Deception Chapter 2,https://store.steampowered.com/app/1017030/Dark_Deception_Chapter_2/,"Indie,Adventure,Action,RPG,Horror"
84,"Very Positive,(67),- 80% of the 67 user reviews for this software are positive.",Planet Evolution PC Live Wallpaper,https://store.steampowered.com/app/1017060/Planet_Evolution_PC_Live_Wallpaper/,"Design & Illustration,Utilities"
85,"Mixed,(85),- 69% of the 85 user reviews for this game are positive.",RWBY Deckbuilding Game,https://store.steampowered.com/app/1017080/RWBY_Deckbuilding_Game/,"Strategy,Card Game"
86,"Mostly Positive,(109),- 78% of the 109 user reviews for this game are positive.",Territory Idle,https://store.steampowered.com/app/1017100/Territory_Idle/,"Early Access,Clicker,Free to Play,Early Access,Strategy,Indie,Singleplayer"
87,"Mostly Positive,(37),- 70% of the 37 user reviews for this game are positive.",Hentai Time,https://store.steampowered.com/app/1017860/Hentai_Time/,"Nudity,Casual,Sexual Content,Indie,Simulation,Puzzle,Anime"
88,"Very Positive,(14,567),- 89% of the 14,567 user reviews for this game are positive.",Call of Duty¬Æ: Modern Warfare¬Æ 2,https://store.steampowered.com/app/10180/Call_of_Duty_Modern_Warfare_2/,"Action,FPS,Multiplayer,Shooter,First-Person,Singleplayer,War,Military,Co-op,Online Co-Op,PvP,Masterpiece,Great Soundtrack,Story Rich,Atmospheric,Adventure,Tactical,Strategy,Linear,Moddable"
89,"Mixed,(38),- 65% of the 38 user reviews for this game are positive.",Anniversary Collection Arcade Classics,https://store.steampowered.com/app/1018000/Anniversary_Collection_Arcade_Classics/,"Action,Casual,Arcade,Shoot 'Em Up,Classic,Retro,2D,Space"
90,"Mostly Positive,(115),- 70% of the 115 user reviews for this game are positive.",Castlevania Anniversary Collection,https://store.steampowered.com/app/1018010/Castlevania_Anniversary_Collection/,"Action,Adventure,Classic,RPG,Platformer,Retro,2D,Side Scroller,Metroidvania,Great Soundtrack,Vampire,Horror,Simulation,Difficult"
91,"Mostly Positive,(35),- 71% of the 35 user reviews for this game are positive.",Contra Anniversary Collection,https://store.steampowered.com/app/1018020/Contra_Anniversary_Collection/,"Action,2D,Classic,Platformer,Side Scroller,Shooter,Difficult"
92,"Very Positive,(95),- 91% of the 95 user reviews for this game are positive.",Rocket League¬Æ - Ghostbusters??Ecto-1 Car Pack,https://store.steampowered.com/app/1018530/Rocket_League__Ghostbusters_Ecto1_Car_Pack/,"Action,Sports,Indie,Racing"
93,"Mostly Positive,(28),- 78% of the 28 user reviews for this game are positive.",Dawn Break -Origin-,https://store.steampowered.com/app/1018610/Dawn_Break_Origin/,"Early Access,Early Access,Action,RPG,Singleplayer,Adventure,Action-Adventure,Anime,Comic Book"
94,"Very Positive,(80),- 98% of the 80 user reviews for this game are positive.",Smile For Me,https://store.steampowered.com/app/1018850/Smile_For_Me/,"Adventure,Indie,Casual,Puzzle,Cute,Psychological Horror"
95,"Mostly Positive,(132),- 71% of the 132 user reviews for this game are positive.",World War II: TCG,https://store.steampowered.com/app/1019250/World_War_II_TCG/,"Free to Play,Strategy,Simulation,Card Game,World War II,Trading Card Game,Multiplayer,War,Military,Singleplayer,Turn-Based Strategy,Tanks,Co-op,Difficult,Local Multiplayer,Crafting,Indie,Great Soundtrack"
96,"Mixed,(113),- 66% of the 113 user reviews for this game are positive.",Call of Duty¬Æ: Modern Warfare¬Æ 2 Stimulus Package,https://store.steampowered.com/app/10195/Call_of_Duty_Modern_Warfare_2_Stimulus_Package/,"Action,Multiplayer,FPS,Free to Play,Singleplayer"
97,"Mixed,(81),- 66% of the 81 user reviews for this game are positive.",Race for Tuning,https://store.steampowered.com/app/1019940/Race_for_Tuning/,"Racing,Simulation,Indie,Massively Multiplayer,Open World,Multiplayer,Driving,Physics,Action,Realistic,Strategy"
98,"Mostly Positive,(184),- 79% of the 184 user reviews for this game are positive.",Audica,https://store.steampowered.com/app/1020340/Audica/,"Early Access,Rhythm,Music,VR,Early Access,Indie,Action"
99,"Positive,(34),- 97% of the 34 user reviews for this game are positive.",Hellink,https://store.steampowered.com/app/1020520/Hellink/,"Indie,Free to Play,Visual Novel,Sci-fi,Cyberpunk,2D,Female Protagonist,Story Rich,Point & Click,Text-Based,Singleplayer"
100,"Very Positive,(80),- 93% of the 80 user reviews for this game are positive.",R.I.C.A,https://store.steampowered.com/app/1020640/RICA/,"Free to Play,Adventure,Indie,RPG,RPGMaker,Horror"
101,"Very Positive,(350),- 88% of the 350 user reviews for this software are positive.",KumaKuma Manga Editor,https://store.steampowered.com/app/1020820/KumaKuma_Manga_Editor/,"Design & Illustration,Web Publishing,Animation & Modeling,Anime"
102,"Very Positive,(3,582),- 90% of the 3,582 user reviews for this game are positive.",When the Darkness comes,https://store.steampowered.com/app/1021950/When_the_Darkness_comes/,"Psychological Horror,Free to Play,Indie,Adventure,First-Person,Walking Simulator,Horror,Narration,Dynamic Narration,Atmospheric,Dark,Singleplayer,Story Rich"
103,"Mostly Positive,(181),- 78% of the 181 user reviews for this game are positive.",Runespell: Overture,https://store.steampowered.com/app/102200/Runespell_Overture/,"Card Game,Indie,RPG,Casual,Adventure,Fantasy,Singleplayer"
104,"Positive,(23),- 100% of the 23 user reviews for this game are positive.",Miracle snack shop Í∏∞Ï†Å??Î∂ÑÏãùÏß?OST,https://store.steampowered.com/app/1022120/Miracle_snack_shop___OST/,"Indie,Casual,Simulation"
105,"Positive,(28),- 82% of the 28 user reviews for this software are positive.",Magic Borderless,https://store.steampowered.com/app/1022230/Magic_Borderless/,Utilities
106,"Very Positive,(80),- 82% of the 80 user reviews for this game are positive.",Animal Fight Club,https://store.steampowered.com/app/1022780/Animal_Fight_Club/,"Strategy,Indie,Action,Simulation,Massively Multiplayer,Adventure"
107,"Mostly Positive,(59),- 77% of the 59 user reviews for this game are positive.",Clown Thug Cop Zombies,https://store.steampowered.com/app/1023320/Clown_Thug_Cop_Zombies/,"Free to Play,Violent,Indie,Action"
108,"Very Positive,(126),- 86% of the 126 user reviews for this game are positive.",7 Sexy Sins,https://store.steampowered.com/app/1023740/7_Sexy_Sins/,"Nudity,Indie,Action,Casual,Anime,Sexual Content,Mature,Shoot 'Em Up,Bullet Hell"
109,"Mostly Positive,(41),- 75% of the 41 user reviews for this game are positive.",INVITATION,https://store.steampowered.com/app/1023750/INVITATION/,"Gore,Action,Adventure,Indie,Violent,Horror,Survival Horror,Survival,Psychological Horror,Psychological"
110,"Mixed,(133),- 49% of the 133 user reviews for this game are positive.",V.L.A.D.i.K,https://store.steampowered.com/app/1023980/VLADiK/,"Early Access,Action,Gore,Early Access,Violent,RPG,Adventure,Indie,Comedy,Horror,Difficult,Atmospheric,Psychological Horror,Survival,Mature,Survival Horror,Sports,Casual"
111,"Mixed,(21),- 66% of the 21 user reviews for this game are positive.",A Stroke of Fate: Operation Valkyrie,https://store.steampowered.com/app/10240/A_Stroke_of_Fate_Operation_Valkyrie/,"Adventure,Point & Click"
112,"Mostly Positive,(79),- 70% of the 79 user reviews for this game are positive.",MudRunner - Old-timers DLC,https://store.steampowered.com/app/1024110/MudRunner__Oldtimers_DLC/,Simulation
113,"Positive,(41),- 97% of the 41 user reviews for this game are positive.",The Cradle of Ruin/ÊØÅÁÅ≠?ÑÊëáÁØ??ª„Çç?≥„ÅÆ?Ü„Çä?ã„Åî,https://store.steampowered.com/app/1024280/The_Cradle_of_Ruin/,"Simulation,Adventure,RPG,Visual Novel,RPGMaker,Anime"
114,"Very Positive,(60),- 95% of the 60 user reviews for this game are positive.",Deathgarden: BLOODHARVEST - Terminator Set,https://store.steampowered.com/app/1024660/Deathgarden_BLOODHARVEST__Terminator_Set/,"Action,Gore,Violent"
115,"Very Positive,(50),- 96% of the 50 user reviews for this game are positive.",Tornado!,https://store.steampowered.com/app/1024980/Tornado/,"Free to Play,Adventure,Casual,Indie,Singleplayer,Arcade"
116,"Very Positive,(104),- 100% of the 104 user reviews for this game are positive.",Figure Quest,https://store.steampowered.com/app/1025050/Figure_Quest/,"Casual,Action,Indie,Strategy,Adventure"
